otindex|securityID|tradingDay|timeStamp|totalvolume|totalvalue|lastprice|bp5|bv5|bp4|bv4|bp3|bv3|bp2|bv2|bp1|bv1|ap1|av1|ap2|av2|ap3|av3|ap4|av4|ap5|av5
65670|002.U|15770728|084500|0|0.00|nan|nan|0|nan|0|nan|0|30.72|200|35.01|200|37.85|100|39.68|200|42.82|3900|nan|0|nan|0
66346|000.U|15770728|084500|0|0.00|nan|nan|0|nan|0|nan|0|nan|0|nan|0|3.40|1300|nan|0|nan|0|nan|0|nan|0
68534|003.U|15770728|084500|0|0.00|nan|6.30|2200|6.31|62400|6.41|6400|6.43|1500|6.52|500|6.54|2800|6.57|10000|6.58|200|6.59|1000|6.60|6300
72406|001.U|15770728|084500|0|0.00|nan|15.00|100|15.01|500|15.26|100|15.30|400|15.31|100|15.41|400|15.49|400|15.58|600|15.65|100|15.68|400
73205|004.U|15770728|084500|0|0.00|nan|9.51|600|9.52|600|9.61|2000|9.63|10000|9.68|300|9.80|10800|9.81|700|9.83|600|9.84|5500|9.85|10800
106651|000.U|15770728|084501|0|0.00|nan|nan|0|nan|0|nan|0|nan|0|nan|0|3.40|1300|nan|0|nan|0|nan|0|nan|0
110028|003.U|15770728|084501|0|0.00|nan|6.30|2200|6.31|62400|6.41|6400|6.43|1500|6.52|500|6.54|2800|6.57|10000|6.58|200|6.59|1000|6.60|6300
117740|004.U|15770728|084501|0|0.00|nan|9.51|600|9.52|600|9.61|2000|9.63|10000|9.68|300|9.80|10800|9.81|700|9.83|600|9.84|5500|9.85|10800
118568|001.U|15770728|084501|0|0.00|nan|15.25|100|15.26|600|15.30|600|15.31|100|15.34|100|15.41|400|15.49|400|15.55|400|15.58|600|15.64|100
94080|002.U|15770728|084501|0|0.00|nan|nan|0|nan|0|30.72|200|35.01|200|35.11|200|37.00|100|37.85|100|38.68|100|39.68|200|42.82|4000
122582|002.U|15770728|084502|0|0.00|nan|nan|0|nan|0|30.72|200|35.01|200|35.11|200|37.00|100|37.85|100|37.97|100|38.68|100|39.68|200
133084|000.U|15770728|084502|0|0.00|nan|nan|0|nan|0|nan|0|nan|0|nan|0|3.40|1300|nan|0|nan|0|nan|0|nan|0
136606|003.U|15770728|084502|0|0.00|nan|6.30|2200|6.31|62400|6.41|6400|6.43|1500|6.52|500|6.54|2800|6.57|10000|6.58|200|6.59|1000|6.60|6300
145375|004.U|15770728|084502|0|0.00|nan|9.51|600|9.52|600|9.61|2000|9.63|10000|9.68|300|9.80|10800|9.81|700|9.83|600|9.84|5500|9.85|10800
149708|001.U|15770728|084502|0|0.00|nan|15.25|100|15.26|600|15.30|600|15.31|100|15.34|100|15.41|400|15.49|800|15.55|400|15.58|600|15.64|100
147732|000.U|15770728|084503|0|0.00|nan|nan|0|nan|0|nan|0|nan|0|nan|0|3.40|1300|nan|0|nan|0|nan|0|nan|0
151234|003.U|15770728|084503|0|0.00|nan|6.30|2200|6.31|62400|6.41|6400|6.43|1500|6.52|500|6.54|2800|6.57|10000|6.58|200|6.59|1000|6.60|6300
158709|002.U|15770728|084503|0|0.00|nan|nan|0|nan|0|30.72|200|35.01|200|35.11|200|37.00|100|37.85|100|37.97|100|38.68|100|39.68|200
160891|004.U|15770728|084503|0|0.00|nan|9.51|600|9.52|600|9.61|2000|9.63|10000|9.68|300|9.80|10800|9.81|700|9.83|600|9.84|5500|9.85|10800
